user_account,balance_ether,balance_value,total_transactions,sent,received,n_contracts_sent,n_contracts_received,classification
0x01776ef8c2726cd71a8412da35a948f651d9cdd1,3.03595e-05,0.01,65,0,4,2,0,0
0x1cad2530288b206ac2b4f18a48d0cd38c209f54b,1.24985696,489.73,575,0,48,48,0,0
0xcd8e58ede95e7c162cfe2782197636e367cd8a3c,0.0889051628137407,34.84,138,0,5,5,0,0
0xbfcf3b241d235ef4be7ed0cea2ad409d4a2c5231,0.2995581085978318,117.38,4989,0,67,67,0,0
0x41191c440d25d9ee09a6b7223b682ff61c3127f6,6.04283e-05,0.02,16,0,1,1,0,0
0x96d18a08669ee53f13c9a1ea23e16c9ed6895cad,3.48e-05,0.01,3,0,1,0,0,0
0xd6efb3ba7d37d7a46165cf4bfa54410f88f5aad6,0.0002729519,0.11,22,0,2,2,0,0
0x5fc74e6bda705d82d427e5de72f4f23e017cae78,5.11e-08,0.01,5,0,2,0,0,0
0xd9c250496d00bc23996deef7aa376c4777a05cc1,0.00054441304,0.21,16,0,2,2,0,0
0xab8c8e7ed11f53052d71d5229943c2427e7faedb,0.000432654556,0.17,4347,0,656,11,0,0
0xb2cc3cdd53fc9a1aeaf3a68edeba2736238ddc5d,94.70040305416516,37096.99,27871,0,105,42,0,1
0xe7cdbd787b68bf6fc0510a80bfc586886edd594a,0.0,0.0,72,0,1,0,0,0
0x6b20883fc5d50b1f88b9485065bade0ec0bb73dc,0.00275631673,1.08,17,0,1,1,0,0
0x2726f52784ea517f9695d5096cc4b17629d72d57,9.324063986e-09,0.01,19,0,1,0,0,0
0xeba290cf248cb14442a071fbcb58a9cc5dcde28e,0.0774304404116604,30.33,741415,1139,8101,5885,0,0
0x7f1d43c6b5be498c62fdd6d61a71790b2e217272,0.0,0.0,196,0,29,26,0,0
0x3ec199605265c3d9d6bf41e9670e621ef6b1b128,0.0,0.0,7,0,2,1,0,0
0x489773ac60b915f9809011cf3f544f18a4441627,28.890415309921227,11317.24,40127,45,359,0,0,0
0x940b7b9696655c96fe0c58e7ff22a7f8519e4b61,0.0,0.0,15,0,1,0,0,0
0x1e777dac07bf3f16d539794928edebf9727e371b,3.784461931810692,1482.49,529,0,3,3,0,0
0x4b7f3f1f52ffbb31363d3963a8883446a5e0f984,0.0,0.0,8,0,1,0,0,0
0x9d1dacaae00d740260378d88d9ff4ebd301c6c56,0.0,0.0,11,0,1,1,0,0
0x73fac88ed18751edc992d8ed0b9713afc3aa99b1,0.00435748,1.71,22,0,1,1,0,0
0x7906c7a1dbb4a1c68d2b5526e279b44accfb34e2,1.7775e-06,0.01,163,1,3,2,0,0
0x7044646bab491a8e34fda8b538e2bb3c08764e9d,0.0009378145171736,0.37,792,0,10,8,0,0
0x41017be081c520e3b2f8741524fd3af42bff3d80,0.0046726999999999,1.83,7,0,1,0,0,0
0xa947a654af4c7edb4e7e0d687ffa7409d41160f4,0.000260266987,0.1,19,0,6,0,0,0
0x0bad0eae676c14441e0d8a926c791b834a717d0e,0.00043626,0.17,5,0,1,1,0,0
0x2a2c575c51a0986b0283306e765400762c3d0b6f,0.0008882361439239,0.35,4861,0,98,98,0,0
0x4f9a0c794bf07ab06235446fc3f896ccf590f537,0.0,0.0,3330,0,224,0,0,0
0x63206b23bfa6cee8a5897e08feb6a6ef379f026d,1.00000730861e-06,0.01,71,0,4,2,0,0
0xde67f96bb969bf06888fac44f0b3ef9cde97cfd5,0.0,0.0,11,0,1,1,0,0
0xef0a31f5ca68a36875c574ccbfab6045f6cf6945,1.47625e-05,0.01,66,0,4,2,0,0
0x57175758e48e82b1595fd3ef45c0e5385e874910,0.0,0.0,78,0,1,1,0,0
0xc8dfcec53ab1102a38e8f96be8eba37fc5340c99,3.031599322188088,1187.57,385879,7,11747,10072,1,0
0x7777347086ba6c71dca7aa48c8f8b9854d61df56,0.0189946061824454,7.44,16749,0,140,140,0,0
0x2b77c20e5bed6fb695db1edc13f487372f9bdf36,0.0,0.0,13811,1,135,0,0,0
0x4e57c80bcbce2102d17b40e5de4b4c39e07a63e3,0.0131120052684618,5.14,102,0,6,2,0,0
0x12ee131559e73c8be1eb4f305fcd1b3a7fdec568,0.000639204,0.25,2,0,1,1,0,0
0x4986f0757174caa968393b30bc97bef22ad2481a,0.8152875290161197,319.37,34192,0,909,909,0,0
0x1d51331a87d41378ed7b8e95fe9864c87dbdfba4,0.0,0.0,15,0,1,0,0,0
0x5355d93336e5a89fd163d36dc954d706ed534536,0.0,0.0,21268,84,220,0,0,0
0x78bc71b571dee1f81ad49e318980a5a63df1be86,0.0025729736239226,1.01,69,0,1,1,0,0
0xd035585179351ff1739169297361cfc295b4c4a9,0.00037,0.14,3,0,1,1,0,0
0x04bf40a81dd28591465823089c9d3a7ad19bc6b3,42.46990197608972,16636.73,71367,118,397,324,0,0
0xc25b7137eebdf7899a90750f0d08362a2901f001,7.30610001,2862.02,20938,3,438,0,0,0
0x4844d3159c471c82d9cfad8922d0b7a64d54cdff,0.0283862911532043,11.12,173,0,1,1,0,0
0xa9bff538a906154c80a8dbccd229f3deddfa52d6,916.6795787060151,359090.89,153511,2197,218,0,0,0
0x7152496f37d50a31974236a87b16466145dabbf1,0.0175474868064461,6.87,46,0,1,0,0,0
0x033cb36a6e9bdcd8ecc744855c5e860061e47516,0.00216542,0.85,10857,0,540,540,0,0
0x8e663246a0eaf84d8bb52c2c7529b4ec9033f190,1.24732e-05,0.01,64,1,3,2,0,0
0xc9dbd2a207e2529937439fb10a94c08711aa1e92,0.0990598325,38.8,67,0,1,1,0,0
0x2d7d40e67d79d4d203c1e19104b9657ee12716b2,0.0008326886553599,0.33,558,0,21,21,0,0
